Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
110,1697704784485,2345.365509033203,3525,0,1.05625,29256.724380493164,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4528033792,0
109,1697704784595,2345.387161254883,3525,0,1.0375,29257.1661529541,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4528156672,0
108,1697704784705,2412.7434692382813,3525,0,1.0375,29257.819274902344,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4528226304,0
109,1697704784814,2345.4061431884766,3525,0,1.05625,29258.42950439453,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4533284864,0
108,1697704784923,2412.7779998779297,3525,0,1.0375,29258.905838012695,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4532801536,0
110,1697704785033,2038.6044616699219,3525,0,1.0375,29259.474899291992,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4532428800,0
109,1697704785143,2038.617904663086,3525,0,1.0375,29260.022735595703,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4532092928,0
108,1697704785253,2206.302276611328,3525,0,1.03125,29260.570373535156,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4531777536,0
110,1697704785362,2412.8644256591797,3525,0,1.0375,29260.964767456055,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4531396608,0
109,1697704785473,2345.4664306640625,3525,0,1.05625,29261.472717285156,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4531060736,0
109,1697704785582,2038.6698760986328,3525,0,1.0125000000000002,29262.022171020508,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4530675712,0
109,1697704785692,2345.491943359375,3525,0,1.05625,29262.459091186523,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4530290688,0
108,1697704785802,1955.488784790039,3525,0,1.01875,29263.031707763672,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4529995776,0
110,1697704785910,2412.9432983398438,3525,0,1.0125000000000002,29263.5771484375,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4529627136,0
109,1697704786021,2412.96484375,3525,0,1.0125000000000002,29264.098846435547,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4529319936,0
112,1697704786131,2412.990997314453,3525,0,1.0125000000000002,29264.646362304688,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4529033216,0
109,1697704786244,2413.0225830078125,3525,0,1.0375,29265.147735595703,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4528672768,0
109,1697704786353,2413.0575103759766,3525,0,1.0125000000000002,29265.583724975586,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4528373760,0
110,1697704786464,2413.0752868652344,3525,0,1.0375,29266.030532836914,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4527824896,0
110,1697704786574,2413.0919036865234,3525,0,1.0375,29266.5196685791,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4527464448,0
111,1697704786685,2345.5789489746094,3525,0,1.0375,29267.098739624023,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4527153152,0
111,1697704786797,2413.126480102539,3525,0,1.0125000000000002,29267.61880493164,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4526837760,0
109,1697704786909,2413.1432037353516,3525,0,1.0375,29268.112075805664,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4522475520,0
109,1697704787018,2413.200698852539,3525,0,1.0375,29268.679809570313,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4522262528,0
109,1697704787128,2413.2364807128906,3525,0,1.0125000000000002,29269.13523864746,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4521889792,0
110,1697704787237,2413.2618255615234,3525,0,1.0375,29269.678771972656,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4521558016,0
110,1697704787348,2413.2911529541016,3525,0,1.0375,29270.202758789063,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4521205760,0
